period,attendances_type1,attendances_type2,attendances_type3,total_attendances,emergency_admissions,emergency_admissions_type1,pct_within_4h_all,pct_within_4h_type1,pct_within_4h_type2,pct_within_4h_type3,attendances_over_4h,attendances_under_4h,booked_attendances
2012-04-01,1149633.714285714,51689.285714285725,568200.2857142856,1769523.2857142854,307705.28571428574,302599.0,0.9635150322568717,0.944792478001689,0.9965480549989636,0.9983911608632972,64561.00000000002,1704962.2857142854,
2012-05-01,1251414.285714286,56416.7142857143,621739.4285714289,1929570.4285714282,321132.71428571444,316001.14285714296,0.9681168858235139,0.9517304992066119,0.9975564485702059,0.9984274533015209,61520.71428571427,1868049.7142857139,
2012-06-01,1222084.2857142854,53957.000000000015,611800.0000000001,1887841.2857142857,311005.8571428573,306004.857142857,0.9674552695826655,0.9505831372397742,0.9964627917998194,0.9985994489328912,61439.28571428572,1826402.0,
2012-07-01,1248953.285714286,55391.85714285712,620178.1428571427,1924523.2857142868,321278.7142857143,316142.9999999999,0.9706765972397023,0.955712286162367,0.9960850357066408,0.9985432756993555,56433.571428571435,1868089.7142857155,
2012-08-01,1197383.8571428573,52904.857142857145,594853.5714285711,1845142.2857142854,310680.2857142857,305791.00000000006,0.9704049923830884,0.9551197748138293,0.9978883926401573,0.998728378532532,54606.99999999998,1790535.2857142854,
2012-09-01,1178360.714285714,51526.14285714288,558603.9999999997,1788490.8571428568,308242.0000000001,303416.71428571444,0.9669497092361029,0.9505464310285778,0.9975851370871375,0.9987261612366338,59110.14285714287,1729380.7142857139,
2012-10-01,1214433.4285714284,53422.99999999999,564447.8571428569,1832304.2857142864,323010.5714285715,317919.0,0.9624143057960586,0.9440275147705561,0.9963766275092857,0.9987598500177797,68868.42857142854,1763435.8571428577,
2012-11-01,1167908.0000000002,51804.71428571426,535892.4285714286,1755605.142857143,314490.2857142858,309440.8571428572,0.9601195713061415,0.940847958180659,0.9958029192048159,0.998670042255282,70014.28571428572,1685590.8571428573,
2012-12-01,1202080.2857142861,47553.428571428565,572791.8571428573,1822425.5714285711,330540.9999999998,326829.2857142857,0.9466718570282197,0.9202034520632209,0.9970980010454407,0.9980329429064609,97186.57142857139,1725238.9999999998,
2013-01-01,1149837.1428571434,49518.42857142858,533762.8571428573,1733118.4285714284,319548.2857142859,316170.57142857154,0.945438564951748,0.918652206647898,0.997328555891169,0.9983280429511233,94561.42857142857,1638556.9999999998,
2013-02-01,1085332.7142857139,48970.42857142856,514445.2857142857,1648748.4285714282,293895.85714285716,290544.1428571428,0.9429189535023059,0.9143979416976676,0.994649832406146,0.9981658468747336,94112.28571428572,1554636.1428571425,
2013-03-01,1226196.4285714282,54219.000000000015,584668.7142857143,1865084.142857143,330449.99999999994,326673.14285714267,0.935126251293603,0.9025191139848835,0.9939003986478119,0.9980611731038896,120995.00000000003,1744089.142857143,
2013-04-01,1199089.1428571427,54306.00000000003,578025.2857142854,1831420.4285714282,312663.5714285715,309033.1428571429,0.9344106288148083,0.9009872255416731,0.9939469987530976,0.9981525771116785,120121.71428571429,1711298.7142857139,
2013-05-01,1229747.4285714282,54728.57142857142,607194.2857142859,1891670.2857142868,319764.2857142856,316071.57142857136,0.9657322493228206,0.9483190044134499,0.9946202036021926,0.9983954300341619,64823.28571428571,1826847.0000000012,
2013-06-01,1191352.4285714286,54589.428571428565,585094.4285714285,1831036.285714285,307589.1428571428,304051.28571428574,0.9692305387721895,0.9536045888784019,0.9964671338773075,0.9985064681866981,56339.99999999998,1774696.285714285,
2013-07-01,1281699.8571428573,55536.000000000015,639053.0,1976288.857142857,322469.7142857144,318789.85714285733,0.9668121823140081,0.9498498589874897,0.9948990616125447,0.9983913697298972,65588.71428571429,1910700.1428571427,
2013-08-01,1189671.428571429,53239.14285714286,597680.5714285715,1840591.1428571427,313448.2857142857,309887.42857142846,0.9628401217062407,0.9433800449103594,0.9965519462049942,0.9985720991910634,68396.14285714286,1772194.9999999998,
2013-09-01,1156569.1428571425,52311.57142857146,559868.0000000001,1768748.7142857143,311081.14285714296,307638.0000000001,0.9578551132313796,0.9363619048654246,0.9973701530117619,0.9985634368917571,74543.7142857143,1694205.0,
2013-10-01,1199258.5714285714,52705.285714285696,577465.4285714286,1829429.2857142847,325621.42857142846,322015.00000000006,0.9566804791970642,0.9348361666315259,0.9976147689171864,0.9983098555312402,79249.99999999997,1750179.2857142847,
2013-11-01,1139112.1428571423,50630.571428571435,543293.8571428569,1733036.571428572,318926.5714285715,315374.2857142857,0.959157732719514,0.9387722392815958,0.9974916340776606,0.9983271352493533,70781.14285714284,1662255.428571429,
2013-12-01,1172011.1428571427,47808.57142857141,562209.4285714288,1782029.1428571427,337469.71428571426,333323.71428571414,0.9528350666703863,0.929126831802428,0.9982011593856451,0.9984006976556271,84049.28571428568,1697979.857142857,
2014-01-01,1142283.5714285716,51059.57142857143,546195.7142857143,1739538.8571428573,332562.57142857154,328886.7142857143,0.9517138039539543,0.9273085179624524,0.9965698329961922,0.9985604322887923,83995.71428571429,1655543.142857143,
