period,attendances_type1,attendances_type2,attendances_type3,total_attendances,emergency_admissions,emergency_admissions_type1,pct_within_4h_all,pct_within_4h_type1,pct_within_4h_type2,pct_within_4h_type3,attendances_over_4h,attendances_under_4h,booked_attendances,year,month,quarter,covid_period,crs_period,pct_within_4h_all_lag_1,pct_within_4h_all_lag_3,pct_within_4h_all_lag_12,total_attendances_lag_1,total_attendances_lag_12,emergency_admissions_lag_1,target_roll_mean_3,target_roll_mean_12,split
2017-03-01,1309507.0,53355.0,652972.0,2015834.0,370103.0,365117.0,0.9000949482943537,0.8506109551151693,0.9871802080404836,0.992217124164589,201392.0,1814442.0,20475.0,2017,3,1,0,0,0.8753090395991286,0.8617594559611471,0.872657604381781,1735619.0,2087553.0,326661.0,0.8756057999314182,0.8908915564349237,train
2017-04-01,1253743.0,47550.0,648469.0,1949762.0,352565.0,347805.0,0.9051525263083392,0.8569268183351771,0.9845005257623554,0.9925732764403541,184930.0,1764832.0,20475.0,2017,4,2,0,0,0.9000949482943537,0.851413411900772,0.9003512724457525,2015834.0,1867781.0,370103.0,0.8935188380672737,0.8912916609234723,train
2017-05-01,1347297.0,51037.0,668455.0,2066789.0,374470.0,369644.0,0.8970035160821932,0.8461935267428042,0.9892822854007877,0.9923674742503235,212872.0,1853917.0,20475.0,2017,5,2,0,0,0.9051525263083392,0.8753090395991286,0.9027555860390081,1949762.0,2070340.0,352565.0,0.9007503302282953,0.8908123217604046,train
2017-06-01,1296877.0,50612.0,646567.0,1994056.0,361193.0,356052.0,0.9072518525056468,0.8610053227869721,0.991622540109065,0.9934082624074535,184945.0,1809111.0,20475.0,2017,6,2,0,0,0.8970035160821932,0.9000949482943537,0.9055994429248081,2066789.0,1958802.0,374470.0,0.9031359649653931,0.8909500225588078,train
2017-07-01,1348648.0,50369.0,674927.0,2073944.0,370507.0,365685.0,0.9034781074127363,0.8553744194185584,0.9895372153507117,0.9931770398872767,200181.0,1873763.0,20475.0,2017,7,3,0,0,0.9072518525056468,0.9051525263083392,0.9028524786030435,1994056.0,2079034.0,361193.0,0.9025778253335254,0.8910021582929488,train
2017-08-01,1256655.0,47912.0,620096.0,1924663.0,360985.0,356405.0,0.9029923680145563,0.8543808762150311,0.9894807146435131,0.9948233821859841,186707.0,1737956.0,20475.0,2017,8,3,0,0,0.9034781074127363,0.8970035160821932,0.909763097023593,2073944.0,1932901.0,370507.0,0.9045741093109797,0.890437930875529,train
2017-09-01,1263957.0,47250.0,614754.0,1925961.0,360998.0,356160.0,0.8966609396555797,0.8457107322480116,0.9917460317460317,0.9941082123906473,199027.0,1726934.0,20475.0,2017,9,3,0,0,0.9029923680145563,0.9072518525056468,0.9064786853944554,1924663.0,1952464.0,360985.0,0.9010438050276242,0.8896197853972895,train
2017-10-01,1325211.0,50198.0,668728.0,2044137.0,378811.0,373673.0,0.8994186788850258,0.8482369977309274,0.9931869795609387,0.9938061513799332,205602.0,1838535.0,20475.0,2017,10,4,0,0,0.8966609396555797,0.9034781074127363,0.8905308979446662,1925961.0,2001816.0,360998.0,0.899690662185054,0.890360433808986,train
2017-11-01,1281913.0,48223.0,646835.0,1976971.0,377670.0,372551.0,0.8876655246839736,0.8303964465607261,0.990730564253572,0.9934790170599921,222082.0,1754889.0,20475.0,2017,11,4,0,0,0.8994186788850258,0.9029923680145563,0.8837903610883545,2044137.0,1907871.0,378811.0,0.894581714408193,0.8906833641086211,train
2017-12-01,1289587.0,42158.0,672209.0,2003954.0,393536.0,387919.0,0.8498503458662225,0.7729040382696165,0.9923857868020305,0.9885273776459405,300893.0,1703061.0,20475.0,2017,12,4,0,0,0.8876655246839736,0.8966609396555797,0.8617594559611471,1976971.0,1944567.0,377670.0,0.8789781831450739,0.8896909382673774,train
2018-01-01,1257026.0,49987.0,693073.0,2000086.0,389727.0,383879.0,0.8529918213516818,0.7716507057133265,0.990157440934643,0.9906272499433681,294029.0,1706057.0,20475.0,2018,1,1,0,0,0.8498503458662225,0.8994186788850258,0.851413411900772,2003954.0,1895272.0,393536.0,0.8635025639672925,0.8898224723882865,train
2018-02-01,1151757.0,41902.0,626353.0,1820012.0,352702.0,347470.0,0.8504476893558943,0.7690832354394199,0.9863968307002052,0.9909683517122134,272187.0,1547825.0,20475.0,2018,2,1,0,0,0.8529918213516818,0.8876655246839736,0.8753090395991286,2000086.0,1735619.0,389727.0,0.851096618857933,0.8877506932013502,train
2018-03-01,1299796.0,46655.0,703334.0,2049785.0,391002.0,385196.0,0.8462121637147311,0.7640391261397943,0.9795948987246812,0.9892241808301604,315232.0,1734553.0,20475.0,2018,3,1,0,0,0.8504476893558943,0.8498503458662225,0.9000949482943537,1820012.0,2015834.0,352702.0,0.8498838914741024,0.8832604611530485,train
2018-04-01,1246348.0,47256.0,690765.0,1984369.0,375850.0,370142.0,0.8857248828216929,0.8226931803958445,0.9767436939224649,0.9932263504954651,226764.0,1757605.0,20475.0,2018,4,2,0,0,0.8462121637147311,0.8529918213516818,0.9051525263083392,2049785.0,1949762.0,391002.0,0.8607949119641062,0.8816414908624947,train
2018-05-01,1354711.0,49219.0,760528.0,2164458.0,398703.0,392433.0,0.9039011151983545,0.8512952208995129,0.9856153111603243,0.9923184945195969,208002.0,1956456.0,20475.0,2018,5,2,0,0,0.8857248828216929,0.8504476893558943,0.8970035160821932,1984369.0,2066789.0,375850.0,0.8786127205782596,0.8822162907888412,train
2018-06-01,1306739.0,49635.0,737568.0,2093942.0,382934.0,376782.0,0.9076297242234981,0.8562849964683078,0.9831973405862798,0.9935111067725281,193418.0,1900524.0,20475.0,2018,6,2,0,0,0.9039011151983545,0.8462121637147311,0.9072518525056468,2164458.0,1994056.0,398703.0,0.8990852407478486,0.8822477800986622,train
2018-07-01,1365859.0,49846.0,764191.0,2179896.0,396725.0,390294.0,0.8931949047110505,0.8345422184866813,0.9827869839104442,0.9921825826265946,232824.0,1947072.0,20475.0,2018,7,3,0,0,0.9076297242234981,0.8857248828216929,0.9034781074127363,2093942.0,2073944.0,382934.0,0.901575248044301,0.8813908465401884,train
2018-08-01,1252767.0,49117.0,695970.0,1997854.0,389074.0,382863.0,0.8972702710007838,0.8397076232052728,0.9892501577865097,0.9943934364986997,205239.0,1792615.0,20475.0,2018,8,3,0,0,0.8931949047110505,0.9039011151983545,0.9029923680145563,2179896.0,1924663.0,396725.0,0.8993649666451108,0.8809140051223742,train
2018-09-01,1269088.0,47622.0,688985.0,2005695.0,385975.0,379951.0,0.8894368286304747,0.8296335636299453,0.9869388097937928,0.9928532551506927,221756.0,1783939.0,20475.0,2018,9,3,0,0,0.8972702710007838,0.9076297242234981,0.8966609396555797,1997854.0,1925961.0,389074.0,0.893300668114103,0.880311995870282,train
2018-10-01,1320032.0,51282.0,708178.0,2079492.0,405094.0,398478.0,0.8900933497219513,0.8311669717097767,0.9864474864474865,0.9929537489162329,228550.0,1850942.0,20475.0,2018,10,4,0,0,0.8894368286304747,0.8931949047110505,0.8994186788850258,2005695.0,2044137.0,385975.0,0.89226681645107,0.8795348851066924,train
2018-11-01,1305353.0,48465.0,684029.0,2037847.0,403516.0,397128.0,0.8760446687116353,0.8116003870217482,0.9860311565046941,0.9912328278479421,252602.0,1785245.0,20475.0,2018,11,4,0,0,0.8900933497219513,0.8972702710007838,0.8876655246839736,2079492.0,1976971.0,405094.0,0.8851916156880204,0.8785664804423309,train
2018-12-01,1307359.0,43072.0,697087.0,2047518.0,413632.0,407286.0,0.8644632183941728,0.7934469415057379,0.9906203566121843,0.98985635939273,277514.0,1770004.0,20475.0,2018,12,4,0,0,0.8760446687116353,0.8894368286304747,0.8498503458662225,2037847.0,2003954.0,403516.0,0.8768670789425865,0.87978421981966,train
2019-01-01,1344354.0,47616.0,721443.0,2113413.0,421473.0,414698.0,0.843525141560121,0.7606448896644783,0.9867061491935484,0.9885160712627331,330696.0,1782717.0,20475.0,2019,1,1,0,0,0.8644632183941728,0.8900933497219513,0.8529918213516818,2047518.0,2000086.0,413632.0,0.861344342888643,0.87899532983703,train
2019-02-01,1234328.0,44183.0,676436.0,1954947.0,377502.0,370476.0,0.8422525009629417,0.7575782125982721,0.9849263291311138,0.9874430101295614,308388.0,1646559.0,20475.0,2019,2,1,0,0,0.843525141560121,0.8760446687116353,0.8504476893558943,2113413.0,1820012.0,421473.0,0.8500802869724119,0.8783123974709506,train
2019-03-01,1373061.0,50490.0,744000.0,2167551.0,415964.0,409617.0,0.8660931161481321,0.7949421038103915,0.9844127550009903,0.9893736559139785,290250.0,1877301.0,20475.0,2019,3,1,0,0,0.8422525009629417,0.8644632183941728,0.8462121637147311,1954947.0,2049785.0,377502.0,0.8506235862237316,0.8799691435070672,train
2019-04-01,1330825.0,49281.0,732059.0,2112165.0,405439.0,398802.0,0.8512516777808552,0.7714042041590743,0.983766563178507,0.9874873473312943,314181.0,1797984.0,20475.0,2019,4,2,0,0,0.8660931161481321,0.843525141560121,0.8857248828216929,2167551.0,1984369.0,415964.0,0.8531990982973096,0.8770963764203309,train
2019-05-01,1369332.0,50642.0,752032.0,2172006.0,412841.0,406065.0,0.8663106936105853,0.7908133008359418,0.9852802285135104,0.9897035502535896,261465.0,1694301.0,20475.0,2019,5,2,0,1,0.8512516777808552,0.8422525009629417,0.9039011151983545,2112165.0,2164458.0,405439.0,0.8612184958465242,0.8739638412880169,train
2019-06-01,1334137.0,49233.0,724617.0,2107987.0,398670.0,392446.0,0.8636920723462779,0.7879605729335543,0.9813732738677288,0.9891140311176073,258582.0,1638461.0,20475.0,2019,6,2,0,1,0.8663106936105853,0.8660931161481321,0.9076297242234981,2172006.0,2093942.0,412841.0,0.8604181479125729,0.8703023702982485,train
2019-07-01,1415918.0,52418.0,796714.0,2265050.0,415693.0,408752.0,0.8649112458819785,0.7892795458874745,0.9832148764024854,0.9859749061615831,275515.0,1763996.0,20475.0,2019,7,3,0,1,0.8636920723462779,0.8512516777808552,0.8931949047110505,2107987.0,2179896.0,398670.0,0.8649713372796138,0.8679453987291591,train
2019-08-01,1324070.0,48786.0,752579.0,2125435.0,399953.0,393710.0,0.8629276500280426,0.7833338446539723,0.9843130700539612,0.9888367875610733,262730.0,1653995.0,20475.0,2019,8,3,0,1,0.8649112458819785,0.8663106936105853,0.8972702710007838,2265050.0,1997854.0,415693.0,0.8638436560854329,0.8650835136480973,train
